contract_id,customer_id,vehicle_model,dealer_region,credit_score,amount_financed,monthly_payment,days_past_due,contract_date
CON-000001,CUST-00103,EQE Electric,Pacific,642.0,69763.85,672.31,0,2024-06-15
CON-000002,CUST-00436,EQE Electric,Northeast,627.0,94435.63,1027.18,0,2024-01-18
CON-000003,CUST-00861,S-Class Luxury,Southeast,666.0,89291.49,795.39,15,2025-10-21
CON-000004,CUST-00271,EQE Electric,Pacific,640.0,80239.96,817.58,0,2024-09-03
CON-000005,CUST-00107,GLS Luxury SUV,Midwest,659.0,100314.9,1660.26,0,2025-10-03
CON-000006,CUST-00072,GLS Luxury SUV,Northeast,759.0,99424.71,1189.99,0,2024-10-22
CON-000007,CUST-00701,C-Class Sedan,Southwest,656.0,87518.03,1128.51,0,2025-02-17
CON-000008,CUST-00021,C-Class Sedan,Southeast,800.0,101894.16,1396.32,0,2024-11-15
CON-000009,CUST-00615,C-Class Sedan,Northeast,607.0,63412.39,1737.01,0,2025-07-07
CON-000010,CUST-00122,EQE Electric,Pacific,656.0,109906.21,645.86,0,2025-12-15
CON-000011,CUST-00467,GLS Luxury SUV,Southeast,743.0,87267.36,1583.59,0,2025-11-23
CON-000012,CUST-00215,GLS Luxury SUV,Midwest,588.0,"$104,900.90 USD",1259.22,0,2024-06-29
CON-000013,CUST-00331,GLS Luxury SUV,Southeast,754.0,81433.72,690.01,0,2024-10-22
CON-000014,CUST-00459,S-Class Luxury,Southeast,655.0,53567.25,886.29,0,2025-10-17
CON-000015,CUST-00088,GLS Luxury SUV,Midwest,824.0,81104.86,1127.07,0,2024-03-01
CON-000016,CUST-00373,S-Class Luxury,Midwest,701.0,66544.49,1398.53,0,2024-07-27
CON-000017,CUST-00100,C-Class Sedan,Southeast,764.0,94287.42,815.39,0,2024-06-14
CON-000018,CUST-00872,C-Class Sedan,Midwest,611.0,75442.47,1195.34,0,2024-10-26
CON-000019,CUST-00664,EQE Electric,Northeast,829.0,106069.59,1390.07,0,2025-10-16
CON-000020,CUST-00131,C-Class Sedan,Midwest,636.0,92636.16,1083.36,60,2024-12-16
CON-000021,CUST-00662,EQE Electric,Midwest,723.0,93186.28,1621.93,0,2024-03-01
CON-000022,CUST-00309,E-Class Sedan,Southeast,663.0,53458.2,1630.3,0,2024-09-19
CON-000023,CUST-00770,E-Class Sedan,Northeast,635.0,118661.23,1111.9,0,2024-05-03
CON-000024,CUST-00344,GLE SUV,Southwest,745.0,106542.39,1764.8,0,2024-08-25
CON-000025,CUST-00492,EQE Electric,Southwest,737.0,102065.42,598.26,45,2025-06-25
CON-000026,CUST-00414,GLE SUV,Pacific,828.0,63068.29,504.37,0,2024-03-30
CON-000027,CUST-00806,GLE SUV,Midwest,765.0,80528.69,994.87,30,2024-05-18
CON-000028,CUST-00386,E-Class Sedan,Midwest,657.0,46653.77,1281.43,0,2024-12-27
CON-000029,CUST-00192,EQE Electric,Northeast,601.0,80770.46,1317.96,0,2025-02-16
CON-000030,CUST-00956,E-Class Sedan,Southwest,687.0,47400.59,1119.38,0,2025-12-19
CON-000031,CUST-00277,GLE SUV,Pacific,831.0,82008.22,662.35,0,2024-04-02
CON-000032,CUST-00161,EQE Electric,Northeast,594.0,90141.36,721.65,0,2024-05-13
CON-000033,CUST-00460,GLE SUV,Midwest,739.0,68166.66,1607.79,15,2024-07-22
CON-000034,CUST-00314,GLS Luxury SUV,Southwest,784.0,"$77,376.31 USD",1628.28,0,2025-09-13
CON-000035,CUST-00022,EQE Electric,Pacific,692.0,109430.54,1376.07,0,2024-02-07
CON-000036,CUST-00253,EQE Electric,Southeast,747.0,44227.87,1363.48,0,2025-04-01
CON-000037,CUST-00748,GLE SUV,Southwest,832.0,102297.3,1276.99,0,2025-06-17
CON-000038,CUST-00857,GLS Luxury SUV,Pacific,765.0,49514.14,763.8,0,2025-03-13
CON-000039,CUST-00561,S-Class Luxury,Northeast,806.0,38120.18,1056.73,0,2025-11-10
CON-000040,CUST-00475,E-Class Sedan,Southeast,595.0,50773.84,1404.66,0,2025-10-08
CON-000041,CUST-00059,GLE SUV,Pacific,735.0,100028.67,1198.43,0,2025-09-13
CON-000042,CUST-00511,EQE Electric,Pacific,690.0,69435.72,524.15,0,2024-08-11
CON-000043,CUST-00682,E-Class Sedan,Midwest,580.0,109164.24,1739.62,0,2024-06-16
CON-000044,CUST-00476,E-Class Sedan,Southwest,620.0,79600.14,1598.26,0,2024-04-16
CON-000045,CUST-00700,E-Class Sedan,Midwest,627.0,36891.28,838.71,90,2025-01-14
CON-000046,CUST-00976,S-Class Luxury,Southeast,687.0,95920.66,1301.4,0,2024-01-24
CON-000047,CUST-00783,C-Class Sedan,Pacific,740.0,44369.8,1700.21,0,2025-05-25
CON-000048,CUST-00190,GLE SUV,Midwest,740.0,102097.27,624.81,0,2024-11-02
CON-000049,CUST-00958,C-Class Sedan,Southwest,707.0,49288.72,1153.94,0,2024-12-23
CON-000050,CUST-00687,C-Class Sedan,Southeast,789.0,64362.94,1093.12,0,2025-01-04
CON-000051,CUST-00958,C-Class Sedan,Northeast,730.0,99708.07,1033.27,15,2025-12-23
CON-000052,CUST-00563,E-Class Sedan,Midwest,834.0,116109.67,1586.27,0,2024-06-19
CON-000053,CUST-00876,GLS Luxury SUV,Southeast,797.0,"$66,571.89 USD",994.84,15,2025-08-03
CON-000054,CUST-00567,E-Class Sedan,Northeast,609.0,105499.02,582.76,0,2024-08-09
CON-000055,CUST-00244,E-Class Sedan,Midwest,624.0,51217.34,585.59,0,2025-03-18
CON-000056,CUST-00832,EQE Electric,Southeast,659.0,103610.28,555.57,0,2024-06-01
CON-000057,CUST-00505,EQE Electric,Southeast,618.0,"$90,887.00 USD",1031.89,0,2025-01-10
CON-000058,CUST-00131,C-Class Sedan,Midwest,819.0,51383.2,1433.93,0,2024-10-07
CON-000059,CUST-00485,E-Class Sedan,Southeast,624.0,60712.84,764.84,0,2025-12-13
CON-000060,CUST-00819,C-Class Sedan,Pacific,657.0,"$46,200.53 USD",1340.41,0,2024-08-06
CON-000061,CUST-00647,EQE Electric,Midwest,695.0,67552.2,1393.22,0,2025-09-07
CON-000062,CUST-00021,GLS Luxury SUV,Southeast,848.0,52310.13,831.76,0,2025-04-30
CON-000063,CUST-00841,GLE SUV,Northeast,632.0,89739.83,1280.72,0,2025-05-24
CON-000064,CUST-00167,C-Class Sedan,Northeast,647.0,119532.93,1390.33,0,2024-11-30
CON-000065,CUST-00274,GLS Luxury SUV,Pacific,761.0,"$36,020.78 USD",1106.6,90,2025-02-13
CON-000066,CUST-00388,GLE SUV,Midwest,613.0,80978.18,937.73,15,2024-02-23
CON-000067,CUST-00601,S-Class Luxury,Southeast,828.0,83761.66,1304.9,0,2025-12-01
CON-000068,CUST-00316,C-Class Sedan,Southeast,690.0,112707.75,1771.2,0,2024-03-15
CON-000069,CUST-00014,C-Class Sedan,Northeast,673.0,78010.45,1054.89,0,2024-12-14
CON-000070,CUST-00242,S-Class Luxury,Pacific,758.0,81214.62,1009.26,0,2025-11-14
CON-000071,CUST-00777,S-Class Luxury,Northeast,626.0,75090.49,1103.55,0,2025-01-27
CON-000072,CUST-00346,C-Class Sedan,Northeast,671.0,57856.87,599.08,0,2025-07-07
CON-000073,CUST-00565,S-Class Luxury,Pacific,791.0,39762.48,1219.11,0,2024-06-05
CON-000074,CUST-00898,E-Class Sedan,Midwest,654.0,69735.9,927.31,0,2024-03-21
CON-000075,CUST-00340,GLE SUV,Southeast,781.0,39470.28,657.85,0,2024-07-26
CON-000076,CUST-00092,GLE SUV,Midwest,790.0,81791.86,1106.13,0,2024-03-26
CON-000077,CUST-00367,GLE SUV,Southwest,713.0,61119.96,504.4,0,2025-03-22
CON-000078,CUST-00956,E-Class Sedan,Southwest,645.0,80356.2,1022.32,0,2024-06-25
CON-000079,CUST-00455,S-Class Luxury,Southwest,607.0,46415.24,637.46,0,2025-05-25
CON-000080,CUST-00428,GLS Luxury SUV,Pacific,696.0,114273.55,531.58,0,2025-09-10
CON-000081,CUST-00509,S-Class Luxury,Northeast,693.0,111034.31,1571.82,0,2024-05-18
CON-000082,CUST-00776,C-Class Sedan,Midwest,654.0,51149.7,1691.12,0,2024-04-11
CON-000083,CUST-00943,EQE Electric,Southeast,781.0,64192.76,769.98,0,2025-04-17
CON-000084,CUST-00035,GLE SUV,Southwest,638.0,87146.89,1201.09,0,2025-06-25
CON-000085,CUST-00206,S-Class Luxury,Midwest,594.0,43133.33,861.35,0,2024-07-12
CON-000086,CUST-00081,GLS Luxury SUV,Southwest,810.0,65138.26,1141.65,0,2025-04-30
CON-000087,CUST-00932,C-Class Sedan,Southwest,684.0,56344.54,1067.62,0,2024-11-09
